Unit,Radio no. (Config Tool),Configuration,Match,Qty,Site Type Radio is deployed to,Site Type Radio Abbr,Duplicates, GSM Q-code,LEN 2G, UMTS Q-code,LEN 3G, LTE Q-code,LEN 4G,5G Q-code,LEN 5G,QcodePower,LEN Qcode Power,QcodePattern,IdlePCunit,IdleOPunit,IdleHDunit,TypPCunit,TypOPunit,TypHDunit,HighPCunit,HighOPunit,HighHDunit,MaxPCunit,MaxOPunit,MaxHDunit,Origi0l Order v8,IdlePCtotal,IdleOPtotal,IdleHDtotal,TypPCtotal,TypOPtotal,TypHDtotal,HighPCtotal,HighOPtotal,HighHDtotal,MaxPCtotal,MaxOPtotal,MaxHDtotal
Radio 2203 B3C,Radio 32b,2 LTE branch SM,0,0,Other,M,0,.................................................,49,.................................................,49,........................L6E.....q................,49,*,1,..........................................................................................................................L6E.....q................*,148,..........................................................................................................................L6E.....q................*M$,56,0.5,56,64,2,62,85,8,77,97,10,87,0,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2212 B8,Radio 7,4TRX + 4cc MM,0,0,"MORAN, B1B3, B2B3",M,19,G6E......S.536E........DL6E......................,49,G6E.........36E........DL6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E......S.536E........DL6E......................G6E.........36E........DL6E......................G6E.........36E.........L6E......................*,148,G6E......S.536E........DL6E......................G6E.........36E........DL6E......................G6E.........36E.........L6E......................*M$,233,31,201,268,48,221,291,39,252,513,160,353,25,0,0,0,0,0,0,0,0,0,0,0,0
RUS 02 B8,Radio 3a,3TRX + 2cc MM,0,0,Other,M,0,G6E......S.136E........1L6E......................,49,G6E.........36E........1L6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E......S.136E........1L6E......................G6E.........36E........1L6E......................G6E.........36E.........L6E......................*,148,G6E......S.136E........1L6E......................G6E.........36E........1L6E......................G6E.........36E.........L6E......................*M$,215,11,204,243,20,223,318,49,270,431,90,340,51,0,0,0,0,0,0,0,0,0,0,0,0
RUS 02 B8,Radio 3b,3TRX + 2cc MM,0,0,Other,M,0,G6E......S.136E........7L6E......................,49,G6E.........36E........7L6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E......S.136E........7L6E......................G6E.........36E........7L6E......................G6E.........36E.........L6E......................*,148,G6E......S.136E........7L6E......................G6E.........36E........7L6E......................G6E.........36E.........L6E......................*M$,215,11,204,243,20,223,318,49,270,431,90,340,52,0,0,0,0,0,0,0,0,0,0,0,0
RUS 02 B8,Radio 3c,3TRX + 2cc MM,0,0,Other,M,0,G6E......S.136E........3L6E......................,49,G6E.........36E........3L6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E......S.136E........3L6E......................G6E.........36E........3L6E......................G6E.........36E.........L6E......................*,148,G6E......S.136E........3L6E......................G6E.........36E........3L6E......................G6E.........36E.........L6E......................*M$,215,11,204,243,20,223,318,49,270,431,90,340,53,0,0,0,0,0,0,0,0,0,0,0,0
RUS 02 B8,Radio 3d,3TRX + 2cc MM,0,0,Other,M,0,G6E......S.136E........4L6E......................,49,G6E.........36E........4L6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E......S.136E........4L6E......................G6E.........36E........4L6E......................G6E.........36E.........L6E......................*,148,G6E......S.136E........4L6E......................G6E.........36E........4L6E......................G6E.........36E.........L6E......................*M$,215,11,204,243,20,223,318,49,270,431,90,340,54,0,0,0,0,0,0,0,0,0,0,0,0
RUS 02 B8,Radio 4,2TRX + 2cc MM,0,0,Low,L,0,G6E......S.136E.........L6E......................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E......S.136E.........L6E......................G6E.........36E.........L6E......................G6E.........36E.........L6E......................*,148,G6E......S.136E.........L6E......................G6E.........36E.........L6E......................G6E.........36E.........L6E......................*L$,215,11,204,239,19,220,307,44,263,383,72,310,55,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2212 B8,Radio 38,2TRX + 2cc MM,0,0,UNWIND(TEF only),T,19,G6E......S.536E........DL6E......................,49,G6E.........36E........DL6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E......S.536E........DL6E......................G6E.........36E........DL6E......................G6E.........36E.........L6E......................*,148,G6E......S.536E........DL6E......................G6E.........36E........DL6E......................G6E.........36E.........L6E......................*T$,219,26,193,237,33,204,274,33,241,342,80,262,71,0,0,0,0,0,0,0,0,0,0,0,0
Radio 8823 B42G,Radio 29,NR34,0,0,Other,M,0,.................................................,49,.................................................,49,.................................................,49,56E.*34d.*,10,...................................................................................................................................................56E.*34d.*,157,...................................................................................................................................................56E.*34d.*M$,158,2,156,251,19,232,426,77,349,492,96,396,8,0,0,0,0,0,0,0,0,0,0,0,0
AIR 6488 B42G,Radio 30,NR34,0,0,Other,M,0,.................................................,49,.................................................,49,.................................................,49,56E.*34E.*,10,...................................................................................................................................................56E.*34E.*,157,...................................................................................................................................................56E.*34E.*M$,569,2,567,637,24,613,827,96,731,873,120,753,9,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B28B,Radio 32,NR700 / 4 LTE branch SM,0,0,"MORAN, B1B3, B2B3",M,1,.................................................,49,.................................................,49,.................................................,49,56E7a.*,7,...................................................................................................................................................56E7a.*,154,...................................................................................................................................................56E7a.*M$,147,4,143,178,16,162,274,64,210,318,80,238,10,0,0,0,0,0,0,0,0,0,0,0,0
