SCD page,TelefonicaConfiguration,SCD,Capacity Model,12W/20W,Sectors,Indoor/Outdoor,2G/3G/4G Cabinet Type,Double cabinet,Lancaster/York cabinet upgrade,BB units in York/Lancaster cab,G9 end type,L800 end type,L1800 end type,2100 existing,LTE DUS to BB UG,Concatenation,Telefonica Configuration,Comments
21,B1 to B3 Upgrade - Outdoor 20W High - 2 Sector,Beacon 1 to Beacon 3 Upgrades,High,20W,2,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,RUS 02,Macro,Yes,Beacon 1 to Beacon 3 Upgrades High 20W 2 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS RUS 02 Macro Yes,B1 to B3 Upgrade - Outdoor 20W High - 2 Sector,
20,B1 to B3 Upgrade - Indoor 20W Medium - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Medium,20W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Medium 20W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Indoor 20W Medium - 3 Sector,
20,B1 to B3 Upgrade - Outdoor 20W Medium - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Medium,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Medium 20W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Outdoor 20W Medium - 3 Sector,
21,B1 to B3 Upgrade - Indoor 20W Medium - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Medium,20W,2,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Medium 20W 2 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Indoor 20W Medium - 2 Sector,
21,B1 to B3 Upgrade - Outdoor 20W Medium - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Medium,20W,2,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Medium 20W 2 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Outdoor 20W Medium - 2 Sector,
22,B1 to B3 Upgrade - Indoor 20W High U2100 RRU - 3 Sector,Beacon 1 to Beacon 3 Upgrades,High,20W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 02,ERS,Yes,Beacon 1 to Beacon 3 Upgrades High 20W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 02 ERS Yes,B1 to B3 Upgrade - Indoor 20W High U2100 RRU - 3 Sector,
23,B1 to B3 Upgrade - Indoor 20W Medium U2100 RRU - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Medium,20W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 01,ERS,Yes,Beacon 1 to Beacon 3 Upgrades Medium 20W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 01 ERS Yes,B1 to B3 Upgrade - Indoor 20W Medium U2100 RRU - 3 Sector,
24,B1 to B3 Upgrade - Indoor 20W Network Rail - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Network Rail,20W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Network Rail 20W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Indoor 20W Network Rail - 3 Sector,
24,B1 to B3 Upgrade - Outdoor 20W Network Rail - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Network Rail,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Network Rail 20W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Outdoor 20W Network Rail - 3 Sector,
27,B1 to B3 Upgrade - Indoor 20W Network Rail (No-L18) - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Network Rail,20W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Network Rail 20W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS N/A Macro Yes,B1 to B3 Upgrade - Indoor 20W Network Rail (No-L18) - 3 Sector,
