SCD,TelefonicaConfiguration,"Controlling node
(SHU B1)",SupportSystemControl,ClimateSystem,ClimateControlMode ,"Ext Node 1
(SHU A5)","Ext Node 2
(SHU A6)","Ext Node 3
(SHU A7)","Ext Node 4
(SCU EC-B)","Ext Node 5
(SHU A3 or SCU EC-E)",,Conrtolling node,SupportSystemControl,ClimateSystem,ClimateControlMode ,"Ext Node 1
(SHU A5)","Ext Node 2
(SHU A6)","Ext Node 3
(SHU A7)","Ext Node 4
(SCU EC-B)","Ext Node 5
(SHU A3 or SCU EC-E)",,SupportSystemControl,ClimateSystem,ClimateControlMode ,SupportSystemControl,ClimateSystem,ClimateControlMode ,SupportSystemControl,ClimateSystem,ClimateControlMode 
Removed(Orange),RBS6201 3-Sector 20W Small Capacity (Radio 2217) No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),RBS6102 3-Sector 20W Small Capacity (Radio 2217) No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),RBS6201 2-Sector 20W Small Capacity (Radio 2217) No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),RBS6102 2-Sector 20W Small Capacity (Radio 2217) No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),RBS6201 1-Sector 20W Small Capacity (Radio 2217) No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),RBS6102 1-Sector 20W Small Capacity (Radio 2217) No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 46/5G (1.2) 11,20W-Small-Indoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 46/5G (1.2) 11,20W-Small-Outdoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 47,20W-Small-Indoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 47,20W-Small-Outdoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 48,20W-Small-Indoor-L800 RRU-1 Sector,TEF LTE BB,TRUE,Extended,Normal,DUG-1,VFE LTE BB,U21 DUW,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
